eid,aid,mainshock,mag,lon,lat,depth
28,28,TFZ_EQ,4.83459589246,-122.689471283,47.3699753621,6.68832083508
29,29,TFZ_EQ,4.60284883334,-122.722180634,47.3964430596,9.6767566345
30,30,TFZ_EQ,4.80942425034,-122.327818483,47.5341357738,10.3997282927
31,31,TFZ_EQ,4.92212572928,-122.515738731,47.4566576339,4.91826949901
32,32,TFZ_EQ,5.12810782095,-122.736211786,47.4463363302,13.3329159709
33,33,TFZ_EQ,5.71066991623,-123.044080386,47.3379418696,18.1494948475
34,34,TFZ_EQ,4.93896242578,-122.838924338,47.3013641019,6.42788660725
35,35,TFZ_EQ,4.97880284831,-122.978043976,47.5704612488,13.5649282144
36,36,TFZ_EQ,4.71439168524,-122.866552074,47.4076213785,14.6358272786
37,37,TFZ_EQ,5.51939598171,-122.712150724,47.4718083406,10.7093548867
38,38,TFZ_EQ,4.54910371896,-122.354806709,47.3267660934,15.2175613978
39,39,TFZ_EQ,5.58391236842,-122.780131385,47.4953737732,10.5717046959
40,40,TFZ_EQ,5.25984476207,-122.739233397,47.5551381444,12.0741966076
41,41,TFZ_EQ,5.0661828595,-122.722252988,47.4639497038,4.11764871287
42,42,TFZ_EQ,4.89476815844,-122.620850583,47.3384853198,15.0675218262
43,43,TFZ_EQ,5.30993391901,-122.653818173,47.4649149976,14.5814828631
44,44,TFZ_EQ,4.89964189478,-122.472775073,47.5146096186,4.61441403722
45,45,TFZ_EQ,4.89362598302,-122.646436163,47.4136895938,9.89200171832
46,46,TFZ_EQ,5.65114763639,-122.352551919,47.5404187519,19.6645094527
47,47,TFZ_EQ,4.68196010779,-122.900809877,47.4868439558,10.7317850011
48,48,TFZ_EQ,5.04782141047,-122.342880268,47.5437813067,12.0311264821
49,49,TFZ_EQ,4.76313931273,-122.277902913,47.4719027323,18.5588825306
50,50,TFZ_EQ,4.9351056404,-122.571093595,47.3389460816,15.4761900139
51,51,TFZ_EQ,4.67159181123,-122.775092411,47.3875268467,13.313122098
52,52,TFZ_EQ,5.74981061302,-122.571991541,47.3558211647,16.7648749015
53,53,TFZ_EQ,4.72595167726,-122.420171986,47.5463865081,17.8298602633
54,54,TFZ_EQ,5.20031583149,-122.679987967,47.5156072185,11.3102091478
55,55,TFZ_EQ,5.62400689684,-122.484893873,47.4899245736,11.6017338389
56,56,TFZ_EQ,4.50100995936,-122.989428994,47.3871985459,10.1768149704
57,57,TFZ_EQ,4.59514522206,-122.982307951,47.3557360623,19.4672982403
58,58,TFZ_EQ,4.6529177594,-122.627969178,47.5139260012,15.1546600686
59,59,TFZ_EQ,4.52362070796,-122.469303187,47.4311535498,5.33156905933
60,60,TFZ_EQ,4.50694163653,-122.845805905,47.3652367352,17.807353973
61,61,TFZ_EQ,5.11169489768,-122.226496869,47.4691348134,11.6889590534
62,62,TFZ_EQ,4.56461913058,-122.607434981,47.3169723958,5.10006250276
63,63,TFZ_EQ,4.62503597302,-122.478173686,47.3885775767,12.7954760826
64,64,TFZ_EQ,4.50442945965,-122.979427967,47.4352555355,10.6746284636
65,65,TFZ_EQ,5.93254116109,-122.165827895,47.3367892194,18.0439904778
66,66,TFZ_EQ,4.87259135669,-122.673251456,47.5842695811,7.26391365775
67,67,TFZ_EQ,4.98279646543,-122.848979088,47.36087161,17.2234337519
68,68,TFZ_EQ,4.51155617584,-122.616383432,47.3393088866,12.923019059
69,69,TFZ_EQ,4.64149068863,-122.282086614,47.3522532595,4.87376485142
70,70,TFZ_EQ,4.86617790014,-123.046901427,47.5216080986,19.5495248212
71,71,TFZ_EQ,4.68505766688,-122.645077383,47.4192050806,12.2018439057
72,72,TFZ_EQ,4.6604513735,-122.733092028,47.4610940366,8.65402966771
73,73,TFZ_EQ,4.65627799956,-122.392793081,47.3006448543,11.5105094718
74,74,TFZ_EQ,5.18733369721,-122.615649567,47.313650091,17.7257245363
75,75,TFZ_EQ,4.71792272384,-122.562179542,47.4240946665,8.87844999016
76,76,TFZ_EQ,4.58581445949,-122.270047805,47.524787804,7.08282234379
77,77,TFZ_EQ,5.1725685028,-122.286585606,47.5404860715,6.06513995089
78,78,TFZ_EQ,4.7125819687,-122.92944779,47.3348808126,8.76575037424
79,79,TFZ_EQ,5.53037851184,-122.390965149,47.4488796279,16.4807693926
80,80,TFZ_EQ,4.8973562895,-122.350245933,47.546101187,11.5460218431
