asset,lon,lat,taxonomy,number,structural,contents,area
53061050402-RM1L-MC,-122.34993,47.80439,RM1L-MC,39.9,22553,11278,133
53061050402-S1L-MC,-122.34993,47.80439,S1L-MC,0.2,522,261,2
53061050402-S2L-MC,-122.34993,47.80439,S2L-MC,0.2,504,252,2
53061050402-S3-MC,-122.34993,47.80439,S3-MC,1.5,2251,1126,13
53061050402-S4L-MC,-122.34993,47.80439,S4L-MC,0.3,620,310,3
53061050402-W1-MC,-122.34993,47.80439,W1-MC,1627.7,529056,264549,3368
53033001000-C2L-PC,-122.29606,47.70641,C2L-PC,0.2,312,156,2
53033001000-C3L-PC,-122.29606,47.70641,C3L-PC,0.5,601,301,4
53033001000-RM1L-PC,-122.29606,47.70641,RM1L-PC,1.5,680,340,4
53033001000-W1-PC,-122.29606,47.70641,W1-PC,68.7,20003,10003,135
53033001000-C2L-MC,-122.29606,47.70641,C2L-MC,1.8,2287,1144,13
53033001000-MH-MC,-122.29606,47.70641,MH-MC,1.0,1181,591,7
53033001000-RM1L-MC,-122.29606,47.70641,RM1L-MC,11.1,4987,2494,32
53033001000-S3-MC,-122.29606,47.70641,S3-MC,0.5,563,282,3
53033001000-W1-MC,-122.29606,47.70641,W1-MC,503.8,146691,73357,989
53053071403-MH-PC,-122.45156,47.10868,MH-PC,7.0,412,206,7
53053071403-RM1L-PC,-122.45156,47.10868,RM1L-PC,1.7,423,212,3
53053071403-W1-PC,-122.45156,47.10868,W1-PC,71.5,15116,7559,118
53053071403-C2L-LC,-122.45156,47.10868,C2L-LC,2.2,874,437,6
53053071403-C3L-LC,-122.45156,47.10868,C3L-LC,1.1,355,178,3
53053071403-MH-LC,-122.45156,47.10868,MH-LC,52.1,3061,1532,54
53053071403-RM1L-LC,-122.45156,47.10868,RM1L-LC,12.8,3147,1574,24
53053071403-S3-LC,-122.45156,47.10868,S3-LC,0.6,223,111,2
53053071403-W1-LC,-122.45156,47.10868,W1-LC,531.7,112373,56195,874
53053071403-C2L-MC,-122.45156,47.10868,C2L-MC,3.1,1222,611,8
53053071403-MH-MC,-122.45156,47.10868,MH-MC,72.9,4281,2143,76
53053071403-RM1L-MC,-122.45156,47.10868,RM1L-MC,17.9,4401,2201,33
53053071403-S3-MC,-122.45156,47.10868,S3-MC,0.9,312,156,2
53053071403-W1-MC,-122.45156,47.10868,W1-MC,743.6,157152,78588,1223
53053071406-MH-PC,-122.38220,47.07339,MH-PC,2.3,122,61,2
