asset,lon,lat,taxonomy,number,structural,contents,area
53077001800-W1-LC,-119.93174,46.33884,W1-LC,1523.7,270110,135130,2323
53065950800-C2L-PC,-117.72562,48.32730,C2L-PC,0.3,121,60,1
53065950800-MH-PC,-117.72562,48.32730,MH-PC,118.9,6114,3076,119
53065950800-RM1L-PC,-117.72562,48.32730,RM1L-PC,6.7,1203,602,11
53065950800-W1-PC,-117.72562,48.32730,W1-PC,337.5,54597,27325,503
53065950800-C2L-LC,-117.72562,48.32730,C2L-LC,0.6,268,134,2
53065950800-MH-LC,-117.72562,48.32730,MH-LC,264.4,13597,6840,264
53065950800-RM1L-LC,-117.72562,48.32730,RM1L-LC,14.9,2674,1339,24
53065950800-W1-LC,-117.72562,48.32730,W1-LC,750.6,121415,60767,1119
53061052003-C3L-PC,-122.17975,47.85223,C3L-PC,0.3,226,113,2
53061052003-MH-PC,-122.17975,47.85223,MH-PC,1.7,99,50,2
53061052003-RM1L-PC,-122.17975,47.85223,RM1L-PC,0.6,263,131,1
53061052003-W1-PC,-122.17975,47.85223,W1-PC,30.1,11445,5723,62
53061052003-C2L-MC,-122.17975,47.85223,C2L-MC,2.5,2079,1040,13
53061052003-MH-MC,-122.17975,47.85223,MH-MC,118.8,6974,3495,124
53061052003-RM1L-MC,-122.17975,47.85223,RM1L-MC,45.5,18488,9245,103
53061052003-S3-MC,-122.17975,47.85223,S3-MC,0.6,402,201,3
53061052003-W1-MC,-122.17975,47.85223,W1-MC,2121.1,806074,403057,4370
53061052004-C3L-PC,-122.20717,47.86870,C3L-PC,0.5,1122,561,6
53061052004-W1-PC,-122.20717,47.86870,W1-PC,10.7,3659,1830,22
53061052004-C2L-MC,-122.20717,47.86870,C2L-MC,3.3,6471,3236,35
53061052004-MH-MC,-122.20717,47.86870,MH-MC,26.3,6362,3184,52
53061052004-RM1L-MC,-122.20717,47.86870,RM1L-MC,40.0,20297,10149,118
53061052004-S3-MC,-122.20717,47.86870,S3-MC,1.0,2099,1050,11
53061052004-W1-MC,-122.20717,47.86870,W1-MC,1766.5,605618,302821,3657
53061052005-C2L-MC,-122.20387,47.85788,C2L-MC,5.8,9443,4723,53
53061052005-MH-MC,-122.20387,47.85788,MH-MC,4.5,7705,3853,43
53061052005-RM1L-MC,-122.20387,47.85788,RM1L-MC,40.0,21791,10897,132
53061052005-S3-MC,-122.20387,47.85788,S3-MC,1.9,3122,1561,17
53061052005-W1-MC,-122.20387,47.85788,W1-MC,1601.4,489318,244681,3265
53061052006-C2L-MC,-122.19633,47.84947,C2L-MC,0.7,895,448,5
53061052006-RM1L-MC,-122.19633,47.84947,RM1L-MC,29.5,9483,4742,59
53061052006-W1-MC,-122.19633,47.84947,W1-MC,1404.0,416642,208331,2624
53061052007-C2L-MC,-122.19934,47.83950,C2L-MC,0.6,292,146,1
53061052007-RM1L-MC,-122.19934,47.83950,RM1L-MC,32.7,9784,4892,61
53061052007-W1-MC,-122.19934,47.83950,W1-MC,1572.1,465024,232519,2928
53033002600-C2L-PC,-122.31140,47.68220,C2L-PC,0.9,1682,841,10
53033002600-C3L-PC,-122.31140,47.68220,C3L-PC,0.6,1179,590,7
53033002600-MH-PC,-122.31140,47.68220,MH-PC,0.4,828,414,5
53033002600-RM1L-PC,-122.31140,47.68220,RM1L-PC,15.0,5804,2903,35
53033002600-S3-PC,-122.31140,47.68220,S3-PC,0.2,449,225,3
53033002600-W1-PC,-122.31140,47.68220,W1-PC,1095.3,365623,182830,2199
53033002600-C2L-MC,-122.31140,47.68220,C2L-MC,0.5,954,477,5
53033002600-MH-MC,-122.31140,47.68220,MH-MC,0.2,470,235,3
53033002600-RM1L-MC,-122.31140,47.68220,RM1L-MC,8.5,3293,1647,20
53033002600-S3-MC,-122.31140,47.68220,S3-MC,0.1,255,128,1
53033002600-W1-MC,-122.31140,47.68220,W1-MC,621.5,207454,103738,1248
53053073001-MH-PC,-122.49987,46.96987,MH-PC,32.7,1674,839,33
53053073001-RM1L-PC,-122.49987,46.96987,RM1L-PC,1.5,376,188,3
53053073001-W1-PC,-122.49987,46.96987,W1-PC,74.0,14216,7110,116
53053073001-C2L-LC,-122.49987,46.96987,C2L-LC,0.2,369,185,2
53053073001-MH-LC,-122.49987,46.96987,MH-LC,111.0,5677,2845,111
53053073001-RM1L-LC,-122.49987,46.96987,RM1L-LC,5.2,1275,638,9
53053073001-W1-LC,-122.49987,46.96987,W1-LC,250.8,48211,24112,393
53053073001-C2L-MC,-122.49987,46.96987,C2L-MC,1.2,1889,945,10
53053073001-MH-MC,-122.49987,46.96987,MH-MC,567.9,29042,14554,565
53053073001-RM1L-MC,-122.49987,46.96987,RM1L-MC,26.4,6521,3261,48
53053073001-S1L-MC,-122.49987,46.96987,S1L-MC,0.1,232,116,1
53053073001-S2L-MC,-122.49987,46.96987,S2L-MC,0.1,209,105,1
53053073001-S4L-MC,-122.49987,46.96987,S4L-MC,0.1,395,197,2
53053073001-W1-MC,-122.49987,46.96987,W1-MC,1283.1,246619,123344,2013
53053073005-MH-PC,-122.38742,46.97331,MH-PC,7.3,371,186,7
53053073005-W1-PC,-122.38742,46.97331,W1-PC,13.6,3554,1777,24
53053073005-MH-LC,-122.38742,46.97331,MH-LC,131.2,6693,3350,131
53053073005-RM1L-LC,-122.38742,46.97331,RM1L-LC,4.9,1314,657,9
53053073005-W1-LC,-122.38742,46.97331,W1-LC,245.6,64142,32074,433
53053073005-MH-MC,-122.38742,46.97331,MH-MC,588.5,30018,15022,586
53053073005-RM1L-MC,-122.38742,46.97331,RM1L-MC,22.2,5894,2947,39
53053073005-W1-MC,-122.38742,46.97331,W1-MC,1101.4,287661,143845,1941
53053073006-MH-PC,-122.41845,46.89878,MH-PC,11.1,564,283,11
53053073006-RM1L-PC,-122.41845,46.89878,RM1L-PC,0.6,149,74,1
53053073006-W1-PC,-122.41845,46.89878,W1-PC,31.4,7149,3575,52
53053073006-MH-LC,-122.41845,46.89878,MH-LC,74.8,3815,1913,74
53053073006-RM1L-LC,-122.41845,46.89878,RM1L-LC,4.3,1005,503,7
53053073006-W1-LC,-122.41845,46.89878,W1-LC,211.9,48318,24164,353
53053073006-MH-MC,-122.41845,46.89878,MH-MC,295.4,15064,7555,294
53053073006-RM1L-MC,-122.41845,46.89878,RM1L-MC,17.0,3968,1984,29
53053073006-W1-MC,-122.41845,46.89878,W1-MC,836.7,190807,95423,1395
53033010800-C3L-PC,-122.34987,47.54403,C3L-PC,0.8,209,104,2
53033010800-MH-PC,-122.34987,47.54403,MH-PC,3.5,216,109,4
53033010800-RM1L-PC,-122.34987,47.54403,RM1L-PC,3.6,957,478,7
53033010800-W1-PC,-122.34987,47.54403,W1-PC,194.4,49608,24806,342
53033010800-C2L-MC,-122.34987,47.54403,C2L-MC,2.3,891,446,6
53033010800-MH-MC,-122.34987,47.54403,MH-MC,25.2,1570,794,27
53033010800-RM1L-MC,-122.34987,47.54403,RM1L-MC,26.5,6958,3480,48
53033010800-S3-MC,-122.34987,47.54403,S3-MC,0.6,167,83,2
53033010800-W1-MC,-122.34987,47.54403,W1-MC,1413.6,360782,180405,2485
53033027200-C2L-PC,-122.28132,47.48679,C2L-PC,0.6,916,458,5
53033027200-C3L-PC,-122.28132,47.48679,C3L-PC,0.5,650,325,4
53033027200-MH-PC,-122.28132,47.48679,MH-PC,7.7,674,339,9
53033027200-RM1L-PC,-122.28132,47.48679,RM1L-PC,3.1,1639,820,10
53033027200-S3-PC,-122.28132,47.48679,S3-PC,0.1,195,98,1
53033027200-W1-PC,-122.28132,47.48679,W1-PC,154.4,47805,23907,310
53033027200-C2L-MC,-122.28132,47.48679,C2L-MC,1.8,2733,1367,15
53033027200-MH-MC,-122.28132,47.48679,MH-MC,23.1,2010,1011,27
53033027200-RM1L-MC,-122.28132,47.48679,RM1L-MC,9.3,4891,2446,29
53033027200-S1L-MC,-122.28132,47.48679,S1L-MC,0.1,240,120,1
53033027200-S3-MC,-122.28132,47.48679,S3-MC,0.4,582,291,3
53033027200-S4L-MC,-122.28132,47.48679,S4L-MC,0.1,219,110,1
53033027200-W1-MC,-122.28132,47.48679,W1-MC,460.6,142652,71339,925
53029971600-MH-PC,-122.50754,48.16936,MH-PC,4.1,211,106,4
53029971600-W1-PC,-122.50754,48.16936,W1-PC,24.7,5637,2819,41
53029971600-MH-LC,-122.50754,48.16936,MH-LC,53.9,2762,1385,54
53029971600-RM1L-LC,-122.50754,48.16936,RM1L-LC,6.7,1591,796,12
53029971600-W1-LC,-122.50754,48.16936,W1-LC,322.4,73638,36822,539
53029971600-C2L-MC,-122.50754,48.16936,C2L-MC,0.5,347,174,2
53029971600-MH-MC,-122.50754,48.16936,MH-MC,199.6,10230,5128,199
53029971600-RM1L-MC,-122.50754,48.16936,RM1L-MC,24.6,5892,2947,43
53029971600-W1-MC,-122.50754,48.16936,W1-MC,1194.1,272706,136366,1996
53029970200-C2L-PC,-122.66839,48.33995,C2L-PC,1.5,5730,2865,27
53029970200-RM1L-PC,-122.66839,48.33995,RM1L-PC,1.6,4652,2326,23
53029970200-S1L-PC,-122.66839,48.33995,S1L-PC,0.2,819,410,4
53029970200-S2L-PC,-122.66839,48.33995,S2L-PC,0.1,613,306,3
53029970200-S4L-PC,-122.66839,48.33995,S4L-PC,0.2,928,464,4
53029970200-W1-PC,-122.66839,48.33995,W1-PC,20.0,12176,6089,73
53029970200-C2L-LC,-122.66839,48.33995,C2L-LC,4.5,17689,8845,85
53029970200-C3L-LC,-122.66839,48.33995,C3L-LC,0.7,328,164,2
53029970200-MH-LC,-122.66839,48.33995,MH-LC,0.9,426,213,3
53029970200-RM1L-LC,-122.66839,48.33995,RM1L-LC,4.9,14360,7180,70
53029970200-S1L-LC,-122.66839,48.33995,S1L-LC,0.5,2530,1265,12
53029970200-S2L-LC,-122.66839,48.33995,S2L-LC,0.4,1891,946,9
53029970200-S3-LC,-122.66839,48.33995,S3-LC,0.4,193,96,1
53029970200-S4L-LC,-122.66839,48.33995,S4L-LC,0.6,2866,1433,14
53029970200-W1-LC,-122.66839,48.33995,W1-LC,61.8,37589,18798,227
53029970200-C2L-MC,-122.66839,48.33995,C2L-MC,5.1,20077,10039,96
53029970200-MH-MC,-122.66839,48.33995,MH-MC,1.0,483,242,3
53029970200-RM1L-MC,-122.66839,48.33995,RM1L-MC,5.6,16299,8150,80
53029970200-S1L-MC,-122.66839,48.33995,S1L-MC,0.6,2871,1436,14
53029970200-S2L-MC,-122.66839,48.33995,S2L-MC,0.4,2147,1073,10
53029970200-S3-MC,-122.66839,48.33995,S3-MC,0.4,219,109,2
53029970200-S4L-MC,-122.66839,48.33995,S4L-MC,0.6,3253,1626,15
53029970200-W1-MC,-122.66839,48.33995,W1-MC,70.1,42662,21335,257
53037975200-MH-PC,-120.91647,47.04409,MH-PC,64.4,3287,1652,64
53037975200-RM1L-PC,-120.91647,47.04409,RM1L-PC,4.5,1053,527,8
53037975200-W1-PC,-120.91647,47.04409,W1-PC,227.1,51802,25909,379
53037975200-MH-LC,-120.91647,47.04409,MH-LC,149.2,7610,3824,148
53037975200-RM1L-LC,-120.91647,47.04409,RM1L-LC,10.4,2438,1219,18
53037975200-W1-LC,-120.91647,47.04409,W1-LC,525.9,119933,59985,877
53037975200-C2L-MC,-120.91647,47.04409,C2L-MC,0.8,343,172,2
53037975200-MH-MC,-120.91647,47.04409,MH-MC,488.2,24904,12512,486
53037975200-RM1L-MC,-120.91647,47.04409,RM1L-MC,34.0,7977,3990,57
53037975200-W1-MC,-120.91647,47.04409,W1-MC,1720.8,392456,196288,2870
53005010600-C2L-PC,-119.26492,46.26001,C2L-PC,0.3,233,117,1
53005010600-RM1L-PC,-119.26492,46.26001,RM1L-PC,0.8,305,153,2
53005010600-W1-PC,-119.26492,46.26001,W1-PC,38.4,8816,4409,68
53005010600-C2L-LC,-119.26492,46.26001,C2L-LC,8.9,7550,3776,46
53005010600-C3L-LC,-119.26492,46.26001,C3L-LC,3.1,1550,775,11
53005010600-MH-LC,-119.26492,46.26001,MH-LC,5.0,2482,1242,18
53005010600-RM1L-LC,-119.26492,46.26001,RM1L-LC,26.1,9872,4937,68
53005010600-S1L-LC,-119.26492,46.26001,S1L-LC,0.3,669,335,3
53005010600-S2L-LC,-119.26492,46.26001,S2L-LC,0.1,205,103,1
53005010600-S3-LC,-119.26492,46.26001,S3-LC,2.4,1344,672,9
53005010600-S4L-LC,-119.26492,46.26001,S4L-LC,0.3,529,265,3
53005010600-W1-LC,-119.26492,46.26001,W1-LC,1241.5,285342,142702,2203
53077001901-C2L-PC,-119.89470,46.26011,C2L-PC,0.7,398,199,3
53077001901-C3L-PC,-119.89470,46.26011,C3L-PC,0.4,222,111,2
53077001901-MH-PC,-119.89470,46.26011,MH-PC,11.5,812,407,13
53077001901-RM1L-PC,-119.89470,46.26011,RM1L-PC,3.1,834,417,7
53077001901-W1-PC,-119.89470,46.26011,W1-PC,142.5,26609,13309,237
53077001901-C2L-LC,-119.89470,46.26011,C2L-LC,1.6,906,453,7
53077001901-C3L-LC,-119.89470,46.26011,C3L-LC,0.9,506,253,4
53077001901-MH-LC,-119.89470,46.26011,MH-LC,26.1,1847,926,29
53077001901-RM1L-LC,-119.89470,46.26011,RM1L-LC,7.1,1896,949,16
53077001901-S3-LC,-119.89470,46.26011,S3-LC,0.5,286,143,2
53077001901-W1-LC,-119.89470,46.26011,W1-LC,324.0,60511,30267,540
53077001901-C2L-MC,-119.89470,46.26011,C2L-MC,1.3,716,358,5
53077001901-MH-MC,-119.89470,46.26011,MH-MC,20.6,1459,732,23
53077001901-RM1L-MC,-119.89470,46.26011,RM1L-MC,5.6,1498,749,12
53077001901-S3-MC,-119.89470,46.26011,S3-MC,0.4,226,113,2
53077001901-W1-MC,-119.89470,46.26011,W1-MC,256.0,47815,23916,426
53077001902-C2L-PC,-119.91871,46.25019,C2L-PC,0.2,243,121,1
53077001902-MH-PC,-119.91871,46.25019,MH-PC,20.7,1141,572,21
53077001902-RM1L-PC,-119.91871,46.25019,RM1L-PC,1.6,488,244,4
53077001902-W1-PC,-119.91871,46.25019,W1-PC,67.9,12221,6112,107
53077001902-C2L-LC,-119.91871,46.25019,C2L-LC,3.6,4090,2046,23
53077001902-C3L-LC,-119.91871,46.25019,C3L-LC,0.6,478,239,3
53077001902-MH-LC,-119.91871,46.25019,MH-LC,348.6,19205,9626,355
53077001902-RM1L-LC,-119.91871,46.25019,RM1L-LC,26.2,8216,4109,59
53077001902-S1L-LC,-119.91871,46.25019,S1L-LC,0.2,304,152,2
53077001902-S2L-LC,-119.91871,46.25019,S2L-LC,0.1,229,115,1
53077001902-S3-LC,-119.91871,46.25019,S3-LC,0.9,698,349,4
53077001902-S4L-LC,-119.91871,46.25019,S4L-LC,0.2,424,212,2
53077001902-W1-LC,-119.91871,46.25019,W1-LC,1143.2,205796,102923,1808
53065950900-MH-PC,-118.12295,48.18385,MH-PC,78.9,4023,2022,78
53065950900-RM1L-PC,-118.12295,48.18385,RM1L-PC,4.7,753,377,7
53065950900-W1-PC,-118.12295,48.18385,W1-PC,244.0,38927,19478,359
53065950900-MH-LC,-118.12295,48.18385,MH-LC,143.6,7321,3680,143
53065950900-RM1L-LC,-118.12295,48.18385,RM1L-LC,8.5,1370,685,12
53065950900-W1-LC,-118.12295,48.18385,W1-LC,443.9,70837,35444,653
53061052104-MH-PC,-122.16696,47.98669,MH-PC,12.6,688,345,13
53061052104-RM1L-PC,-122.16696,47.98669,RM1L-PC,3.1,869,435,6
53061052104-W1-PC,-122.16696,47.98669,W1-PC,145.3,40202,20103,265
53061052104-MH-LC,-122.16696,47.98669,MH-LC,13.7,750,376,14
53061052104-RM1L-LC,-122.16696,47.98669,RM1L-LC,3.4,948,474,6
53061052104-W1-LC,-122.16696,47.98669,W1-LC,158.5,43841,21923,289
53061052104-C2L-MC,-122.16696,47.98669,C2L-MC,2.0,619,310,5
53061052104-MH-MC,-122.16696,47.98669,MH-MC,81.9,4478,2245,84
53061052104-RM1L-MC,-122.16696,47.98669,RM1L-MC,20.2,5662,2831,38
53061052104-S3-MC,-122.16696,47.98669,S3-MC,0.5,153,77,1
53061052104-W1-MC,-122.16696,47.98669,W1-MC,946.5,261835,130931,1726
53061052105-MH-PC,-122.09613,47.87708,MH-PC,10.2,551,276,10
53061052105-RM1L-PC,-122.09613,47.87708,RM1L-PC,1.3,424,212,3
53061052105-W1-PC,-122.09613,47.87708,W1-PC,66.3,18481,9242,121
53061052105-MH-LC,-122.09613,47.87708,MH-LC,20.3,1099,551,21
53061052105-RM1L-LC,-122.09613,47.87708,RM1L-LC,2.6,846,423,5
53061052105-W1-LC,-122.09613,47.87708,W1-LC,132.4,36886,18446,242
53061052105-C2L-MC,-122.09613,47.87708,C2L-MC,0.3,293,146,2
53061052105-MH-MC,-122.09613,47.87708,MH-MC,53.6,2901,1455,54
53061052105-RM1L-MC,-122.09613,47.87708,RM1L-MC,7.0,2235,1118,14
53061052105-W1-MC,-122.09613,47.87708,W1-MC,349.4,97371,48693,640
53061052107-MH-PC,-122.15578,47.82420,MH-PC,9.1,465,233,9
53061052107-RM1L-PC,-122.15578,47.82420,RM1L-PC,1.1,388,194,2
53061052107-W1-PC,-122.15578,47.82420,W1-PC,55.9,19039,9520,109
53061052107-MH-LC,-122.15578,47.82420,MH-LC,40.1,2055,1029,40
53061052107-RM1L-LC,-122.15578,47.82420,RM1L-LC,5.0,1717,859,10
53061052107-W1-LC,-122.15578,47.82420,W1-LC,247.3,84196,42100,483
53061052107-MH-MC,-122.15578,47.82420,MH-MC,152.5,7816,3913,152
53061052107-RM1L-MC,-122.15578,47.82420,RM1L-MC,19.1,6533,3267,38
53061052107-W1-MC,-122.15578,47.82420,W1-MC,940.7,320284,160151,1839
53061052108-MH-PC,-122.10276,47.83122,MH-PC,8.7,453,228,9
53061052108-RM1L-PC,-122.10276,47.83122,RM1L-PC,2.7,797,399,5
53061052108-W1-PC,-122.10276,47.83122,W1-PC,132.9,39257,19629,248
53061052108-MH-LC,-122.10276,47.83122,MH-LC,30.7,1598,803,31
53061052108-RM1L-LC,-122.10276,47.83122,RM1L-LC,9.5,2815,1408,18
53061052108-W1-LC,-122.10276,47.83122,W1-LC,469.2,138570,69289,874
53061052108-C2L-MC,-122.10276,47.83122,C2L-MC,1.0,356,178,2
53061052108-MH-MC,-122.10276,47.83122,MH-MC,90.4,4707,2365,90
53061052108-RM1L-MC,-122.10276,47.83122,RM1L-MC,27.9,8290,4146,52
53061052108-W1-MC,-122.10276,47.83122,W1-MC,1381.7,408092,204057,2574
53061052112-MH-PC,-122.07158,47.80148,MH-PC,2.4,124,62,2
53061052112-W1-PC,-122.07158,47.80148,W1-PC,22.9,6762,3381,43
53061052112-MH-LC,-122.07158,47.80148,MH-LC,15.3,779,391,15
53061052112-RM1L-LC,-122.07158,47.80148,RM1L-LC,2.9,855,427,5
53061052112-W1-LC,-122.07158,47.80148,W1-LC,144.0,42575,21289,268
53061052112-MH-MC,-122.07158,47.80148,MH-MC,71.9,3669,1840,72
53061052112-RM1L-MC,-122.07158,47.80148,RM1L-MC,13.6,4028,2014,25
53061052112-W1-MC,-122.07158,47.80148,W1-MC,678.4,200604,100308,1263
53061052113-MH-PC,-122.02122,47.79268,MH-PC,1.9,99,50,2
53061052113-W1-PC,-122.02122,47.79268,W1-PC,25.4,7491,3745,47
53061052113-MH-LC,-122.02122,47.79268,MH-LC,8.3,427,214,8
53061052113-RM1L-LC,-122.02122,47.79268,RM1L-LC,2.2,650,325,4
53061052113-W1-LC,-122.02122,47.79268,W1-LC,109.2,32267,16134,203
53061052113-MH-MC,-122.02122,47.79268,MH-MC,64.0,3289,1651,64
53061052113-RM1L-MC,-122.02122,47.79268,RM1L-MC,17.0,5003,2502,32
53061052113-W1-MC,-122.02122,47.79268,W1-MC,840.5,248342,124178,1565
53061052114-W1-PC,-122.15493,47.85066,W1-PC,16.4,5514,2757,32
53061052114-MH-LC,-122.15493,47.85066,MH-LC,1.3,69,35,1
53061052114-RM1L-LC,-122.15493,47.85066,RM1L-LC,1.2,396,198,2
53061052114-W1-LC,-122.15493,47.85066,W1-LC,57.5,19300,9651,112
53061052114-MH-MC,-122.15493,47.85066,MH-MC,33.3,1697,857,33
53061052114-RM1L-MC,-122.15493,47.85066,RM1L-MC,28.9,9781,4891,56
53061052114-W1-MC,-122.15493,47.85066,W1-MC,1419.9,476482,238257,2760
53061052115-C3L-LC,-122.15618,47.86983,C3L-LC,0.1,250,125,1
53061052115-RM1L-LC,-122.15618,47.86983,RM1L-LC,4.3,1458,729,9
53061052115-W1-LC,-122.15618,47.86983,W1-LC,204.2,61867,30935,388
53061052115-C2L-MC,-122.15618,47.86983,C2L-MC,0.8,1385,693,8
53061052115-MH-MC,-122.15618,47.86983,MH-MC,0.6,1109,554,6
53061052115-RM1L-MC,-122.15618,47.86983,RM1L-MC,40.7,13806,6904,85
53061052115-S3-MC,-122.15618,47.86983,S3-MC,0.2,446,223,2
53061052115-W1-MC,-122.15618,47.86983,W1-MC,1934.2,585955,292992,3675
53033010900-C2L-PC,-122.31998,47.54251,C2L-PC,2.8,3921,1961,20
53033010900-C3L-PC,-122.31998,47.54251,C3L-PC,1.7,728,364,5
53033010900-MH-PC,-122.31998,47.54251,MH-PC,1.1,459,230,3
53033010900-RM1L-PC,-122.31998,47.54251,RM1L-PC,5.0,1949,975,13
53033010900-S1L-PC,-122.31998,47.54251,S1L-PC,0.2,540,270,3
53033010900-S3-PC,-122.31998,47.54251,S3-PC,0.6,307,154,2
53033010900-W1-PC,-122.31998,47.54251,W1-PC,368.1,71240,35638,607
53033010900-C2L-MC,-122.31998,47.54251,C2L-MC,0.8,1113,556,6
53033010900-RM1L-MC,-122.31998,47.54251,RM1L-MC,1.4,553,277,4
53033010900-W1-MC,-122.31998,47.54251,W1-MC,104.4,20211,10110,172
53053073110-MH-LC,-122.25315,47.13365,MH-LC,23.4,1220,612,23
53053073110-RM1L-LC,-122.25315,47.13365,RM1L-LC,5.9,1723,861,11
53053073110-W1-LC,-122.25315,47.13365,W1-LC,278.6,82191,41098,519
53053073110-C2L-MC,-122.25315,47.13365,C2L-MC,0.7,149,74,1
53053073110-MH-MC,-122.25315,47.13365,MH-MC,81.3,4240,2126,81
53053073110-RM1L-MC,-122.25315,47.13365,RM1L-MC,20.5,5985,2993,38
53053073110-W1-MC,-122.25315,47.13365,W1-MC,968.1,285553,142785,1803
53053073111-W1-PC,-122.27743,47.12227,W1-PC,5.2,1392,696,9
53053073111-C2L-LC,-122.27743,47.12227,C2L-LC,0.9,501,251,3
53053073111-C3L-LC,-122.27743,47.12227,C3L-LC,0.6,325,162,2
53053073111-MH-LC,-122.27743,47.12227,MH-LC,17.5,1166,584,19
53053073111-RM1L-LC,-122.27743,47.12227,RM1L-LC,6.4,2013,1007,13
53053073111-W1-LC,-122.27743,47.12227,W1-LC,260.6,70132,35068,473
53053073111-C2L-MC,-122.27743,47.12227,C2L-MC,3.5,1980,990,12
53053073111-MH-MC,-122.27743,47.12227,MH-MC,69.2,4605,2307,74
53053073111-RM1L-MC,-122.27743,47.12227,RM1L-MC,25.1,7948,3975,52
53053073111-S3-MC,-122.27743,47.12227,S3-MC,1.0,494,247,3
53053073111-W1-MC,-122.27743,47.12227,W1-MC,1028.9,276873,138444,1868
53049950500-C2L-PC,-123.99246,46.35143,C2L-PC,1.9,1726,863,10
53049950500-C3L-PC,-123.99246,46.35143,C3L-PC,1.6,621,311,5
53049950500-MH-PC,-123.99246,46.35143,MH-PC,78.5,4314,2167,80
53049950500-RM1L-PC,-123.99246,46.35143,RM1L-PC,7.5,3173,1587,21
53049950500-S1L-PC,-123.99246,46.35143,S1L-PC,0.1,194,97,1
53049950500-S3-PC,-123.99246,46.35143,S3-PC,0.5,289,145,2
53049950500-W1-PC,-123.99246,46.35143,W1-PC,303.7,57103,28567,496
53049950500-C2L-MC,-123.99246,46.35143,C2L-MC,6.4,5705,2854,33
53049950500-MH-MC,-123.99246,46.35143,MH-MC,259.7,14262,7166,265
53049950500-RM1L-MC,-123.99246,46.35143,RM1L-MC,24.9,10491,5248,70
53049950500-S1L-MC,-123.99246,46.35143,S1L-MC,0.4,640,320,3
53049950500-S3-MC,-123.99246,46.35143,S3-MC,1.6,956,479,6
53049950500-S4L-MC,-123.99246,46.35143,S4L-MC,0.4,629,314,3
53049950500-W1-MC,-123.99246,46.35143,W1-MC,1004.1,188786,94444,1639
53053073114-MH-PC,-122.37645,47.03805,MH-PC,12.9,660,330,13
53053073114-W1-PC,-122.37645,47.03805,W1-PC,17.6,4037,2019,30
53053073114-MH-LC,-122.37645,47.03805,MH-LC,187.7,9593,4800,187
53053073114-RM1L-LC,-122.37645,47.03805,RM1L-LC,5.5,1370,685,10
53053073114-W1-LC,-122.37645,47.03805,W1-LC,256.1,58665,29336,429
53053073114-C2L-MC,-122.37645,47.03805,C2L-MC,0.9,529,265,3
53053073114-MH-MC,-122.37645,47.03805,MH-MC,606.0,30967,15495,603
53053073114-RM1L-MC,-122.37645,47.03805,RM1L-MC,17.6,4421,2211,31
53053073114-W1-MC,-122.37645,47.03805,W1-MC,826.6,189368,94696,1386
53053073115-MH-PC,-122.34835,47.03941,MH-PC,10.1,517,258,10
53053073115-RM1L-PC,-122.34835,47.03941,RM1L-PC,0.6,165,83,1
53053073115-W1-PC,-122.34835,47.03941,W1-PC,27.3,7126,3563,48
53053073115-MH-LC,-122.34835,47.03941,MH-LC,46.8,2389,1195,47
53053073115-RM1L-LC,-122.34835,47.03941,RM1L-LC,2.7,764,382,5
53053073115-W1-LC,-122.34835,47.03941,W1-LC,126.3,32957,16479,223
53053073115-C2L-MC,-122.34835,47.03941,C2L-MC,0.6,665,333,3
53053073115-MH-MC,-122.34835,47.03941,MH-MC,365.0,18619,9313,363
53053073115-RM1L-MC,-122.34835,47.03941,RM1L-MC,20.7,5951,2976,39
53053073115-W1-MC,-122.34835,47.03941,W1-MC,983.9,256824,128421,1735
53053073116-MH-PC,-122.32213,47.02225,MH-PC,10.1,523,262,10
53053073116-RM1L-PC,-122.32213,47.02225,RM1L-PC,0.6,169,85,1
53053073116-W1-PC,-122.32213,47.02225,W1-PC,24.5,6737,3369,44
53053073116-C2L-LC,-122.32213,47.02225,C2L-LC,0.4,228,114,1
53053073116-MH-LC,-122.32213,47.02225,MH-LC,70.1,3617,1809,70
53053073116-RM1L-LC,-122.32213,47.02225,RM1L-LC,3.8,1171,585,8
53053073116-W1-LC,-122.32213,47.02225,W1-LC,169.3,46555,23279,306
53053073116-C2L-MC,-122.32213,47.02225,C2L-MC,1.6,918,459,6
53053073116-MH-MC,-122.32213,47.02225,MH-MC,282.1,14554,7280,282
53053073116-RM1L-MC,-122.32213,47.02225,RM1L-MC,15.5,4709,2355,31
53053073116-W1-MC,-122.32213,47.02225,W1-MC,681.1,187302,93658,1233
53053073117-MH-PC,-122.32826,46.96822,MH-PC,8.2,416,208,8
53053073117-RM1L-PC,-122.32826,46.96822,RM1L-PC,0.6,168,84,1
53053073117-W1-PC,-122.32826,46.96822,W1-PC,28.7,7561,3781,51
53053073117-MH-LC,-122.32826,46.96822,MH-LC,64.9,3312,1658,65
53053073117-RM1L-LC,-122.32826,46.96822,RM1L-LC,4.7,1334,667,9
53053073117-W1-LC,-122.32826,46.96822,W1-LC,228.4,60199,30101,405
53053073117-C2L-MC,-122.32826,46.96822,C2L-MC,0.2,259,130,1
53053073117-MH-MC,-122.32826,46.96822,MH-MC,240.3,12256,6135,239
53053073117-RM1L-MC,-122.32826,46.96822,RM1L-MC,17.4,4937,2469,32
53053073117-W1-MC,-122.32826,46.96822,W1-MC,845.0,222764,111389,1497
53053073118-MH-PC,-122.23711,47.04503,MH-PC,9.5,491,245,9
