GEOID10,INTPTLAT10,INTPTLON10
53033032328,+47.6641636,-122.0461287
53033001701,+47.6963619,-122.3544843
53033007401,+47.6229244,-122.3246584
53033032317,+47.6276169,-122.0479843
53033032315,+47.6679952,-121.9798462
53033032319,+47.7595596,-122.1476582
53033021906,+47.7423026,-122.1694451
53033021905,+47.7431697,-122.1814242
53033032307,+47.7580051,-122.0907595
53033032311,+47.7515039,-122.0387481
53033032324,+47.6855259,-122.1199830
53033022801,+47.6464310,-122.1532208
53033030700,+47.2971636,-122.2215689
53033030600,+47.3069144,-122.2074969
53033030504,+47.3211155,-122.2135048
53033030503,+47.3425849,-122.2130556
53033030501,+47.3272298,-122.2353245
53033030404,+47.2674240,-122.2759315
53033010200,+47.5540013,-122.2608175
53033010100,+47.5670447,-122.2751446
53033009900,+47.5789585,-122.3638568
53033009800,+47.5719546,-122.3830940
53033009702,+47.5719270,-122.3960103
53033009701,+47.5731929,-122.4101745
53033009600,+47.5899898,-122.3882351
53033010401,+47.5532039,-122.2956376
53033010701,+47.5450729,-122.3675013
53033011001,+47.5383594,-122.2862045
53033025301,+47.5102693,-122.2031668
53033025601,+47.4827528,-122.1748691
53033025805,+47.4548196,-122.1939161
53033022803,+47.6439331,-122.1312723
53033023202,+47.6179632,-122.1270727
53033031205,+47.3280223,-122.1778550
53033031502,+47.2405383,-121.6336958
53033022005,+47.7116198,-122.1939066
53033021802,+47.7673777,-122.1727400
53033021904,+47.7229333,-122.1616154
53033030403,+47.2677479,-122.3092300
53033030401,+47.2944923,-122.2855895
53033030312,+47.2932144,-122.3682146
53033030311,+47.3078811,-122.3685730
53033030310,+47.2901057,-122.3495936
53033009500,+47.5783426,-122.2831943
53033009400,+47.5881924,-122.3098671
53033009300,+47.5776855,-122.3309417
53033009200,+47.6004657,-122.3348315
53033009100,+47.5984232,-122.3217544
53033009000,+47.5982642,-122.3090976
53033008900,+47.6010391,-122.2850405
53033008800,+47.6073299,-122.2976324
53033029205,+47.3878189,-122.2633930
53033030005,+47.3365301,-122.3027673
53033031705,+47.3829339,-122.1150241
53033032010,+47.3780192,-122.0232476
53033032213,+47.5868050,-121.9887226
53033032214,+47.6028805,-122.0215000
53033022300,+47.7138649,-122.2487460
53033022400,+47.6859329,-122.2113268
53033022901,+47.6366077,-122.1183943
53033022606,+47.6689188,-122.1547915
53033022702,+47.6568197,-122.1942746
53033023000,+47.6205810,-122.1031787
53033030309,+47.3032998,-122.3374114
53033030308,+47.3083168,-122.3520249
53033030306,+47.3130416,-122.3996447
53033030305,+47.3189756,-122.3888214
53033008700,+47.6059236,-122.3077910
53033011800,+47.5154414,-122.2532080
53033011700,+47.5201716,-122.2828507
53033011600,+47.5282704,-122.3897768
53033011500,+47.5301833,-122.3755330
53033011300,+47.5273690,-122.3448435
53033011200,+47.5285208,-122.3248817
53033011102,+47.5379284,-122.2633605
53033032212,+47.5709700,-122.0083907
53033023100,+47.6067132,-122.1114759
53033023603,+47.6173977,-122.1508058
53033023300,+47.6003452,-122.1289619
53033023401,+47.5867489,-122.1467322
53033023500,+47.5913824,-122.1728599
53033030304,+47.2732632,-122.3318560
53033030202,+47.3243897,-122.3231288
53033030201,+47.3206275,-122.3485442
53033030100,+47.3361138,-122.3469054
53033030004,+47.3501042,-122.3033872
53033030003,+47.3588458,-122.3152313
53033011101,+47.5394840,-122.2773724
53033008600,+47.6071015,-122.3166893
53033008500,+47.6051125,-122.3249464
53033008400,+47.6134675,-122.3239419
53033008300,+47.6118178,-122.3280041
53033008200,+47.6103728,-122.3319410
53033008100,+47.6058741,-122.3393423
53033008002,+47.6120871,-122.3452591
53033008001,+47.6150718,-122.3555298
53033007900,+47.6143865,-122.3076722
53033007800,+47.6141558,-122.2810958
53033007700,+47.6191203,-122.2973516
53033023601,+47.6104586,-122.1719138
53033024601,+47.5484565,-122.2237306
53033023604,+47.5993896,-122.1539499
53033023700,+47.6327201,-122.1733574
53033029902,+47.3241338,-122.2580667
53033029901,+47.3240587,-122.2823360
53033029802,+47.3445746,-122.2747262
53033029801,+47.3609177,-122.2683819
53033029700,+47.3646803,-122.2258729
53033029602,+47.3383864,-122.1880544
53033029601,+47.3561518,-122.1841491
53033029504,+47.3797202,-122.1945497
53033007600,+47.6218678,-122.3075858
53033007500,+47.6183901,-122.3168861
53033007300,+47.6199883,-122.3335164
53033007200,+47.6194539,-122.3431175
53033007100,+47.6224443,-122.3574017
53033007000,+47.6282328,-122.3568062
53033006900,+47.6343628,-122.3669714
53033006800,+47.6360306,-122.3564653
53033006700,+47.6318633,-122.3442667
53033006600,+47.6296259,-122.3310053
53033006500,+47.6309633,-122.3177579
53033023801,+47.5957098,-122.1886970
53033024000,+47.6273756,-122.2042081
53033024701,+47.5614775,-122.1808594
53033024901,+47.5633033,-122.1575188
53033024702,+47.5396242,-122.1897607
53033021700,+47.7641311,-122.2351861
53033022001,+47.7451437,-122.1989202
53033029503,+47.3763084,-122.2063943
53033029502,+47.3741574,-122.1753447
53033029408,+47.3946962,-122.1916681
53033029407,+47.3942408,-122.2017733
53033029406,+47.3974260,-122.1786798
53033029405,+47.4117274,-122.1757403
53033006400,+47.6285398,-122.3048258
53033006300,+47.6350574,-122.2767772
53033006200,+47.6391316,-122.3012264
53033006100,+47.6448423,-122.3222789
53033006000,+47.6436158,-122.3520520
53033005801,+47.6548926,-122.3850376
53033005700,+47.6581015,-122.4137704
53033026002,+47.4825107,-122.2239768
53033025804,+47.4547647,-122.1691692
53033031909,+47.4378388,-122.1434772
53033031908,+47.4471071,-122.1427639
53033022102,+47.7424060,-122.2259045
53033022500,+47.6799808,-122.1926045
53033029403,+47.4094368,-122.2002607
53033029307,+47.4218407,-122.1594823
53033029306,+47.4217238,-122.1835438
53033028902,+47.3994087,-122.3017641
53033028901,+47.4026302,-122.3203514
53033028802,+47.4249416,-122.2880021
53033028801,+47.4206939,-122.3086060
53033005600,+47.6405468,-122.4071053
53033005400,+47.6486281,-122.3381362
53033005302,+47.6540494,-122.3013013
53033005301,+47.6615050,-122.3131216
53033005200,+47.6595705,-122.3235185
53033005100,+47.6585183,-122.3322481
53033005000,+47.6608696,-122.3418076
53033004900,+47.6571964,-122.3518455
53033004800,+47.6608472,-122.3601847
53033004700,+47.6660659,-122.3749544
53033022603,+47.6948197,-122.1716302
53033022604,+47.6762277,-122.1740019
53033024300,+47.5901123,-122.2458440
53033024400,+47.5822829,-122.2178670
53033024500,+47.5664031,-122.2202549
53033028700,+47.4212394,-122.3278018
53033028600,+47.4329749,-122.3446892
53033028500,+47.4454085,-122.3248135
53033028403,+47.4388693,-122.2831589
53033028402,+47.4501488,-122.3030373
53033028300,+47.4309168,-122.2693876
53033004600,+47.6830920,-122.3378674
53033004500,+47.6685824,-122.3229111
53033004400,+47.6703410,-122.3119324
53033004200,+47.6702043,-122.2841019
53033004100,+47.6678440,-122.2587932
53033004000,+47.6817180,-122.2523680
53033003900,+47.6794117,-122.2823414
53033003800,+47.6794093,-122.2955292
53033025701,+47.4716037,-122.1913955
53033022802,+47.6633906,-122.1350007
53033032309,+47.6856250,-122.1338165
53033032325,+47.6864819,-122.1049565
53033028200,+47.4656308,-122.2755633
53033028100,+47.4686896,-122.2991209
53033028000,+47.4666281,-122.3239219
53033027900,+47.4638936,-122.3478454
53033027800,+47.4515094,-122.3679231
53033027702,+47.3727844,-122.4617896
53033005900,+47.6492259,-122.3685688
53033005802,+47.6353633,-122.3802928
53033003600,+47.6771912,-122.3242054
53033003500,+47.6725466,-122.3520881
53033003400,+47.6740646,-122.3617463
53033003300,+47.6759714,-122.3768125
53033003200,+47.6753292,-122.4022854
53033003100,+47.6877574,-122.3964308
53033025400,+47.4945390,-122.1839089
53033025500,+47.4970722,-122.1699618
53033025702,+47.4638347,-122.1646500
53033032316,+47.6392221,-122.0712508
53033032318,+47.6350729,-122.0320767
53033031202,+47.2529061,-122.0687913
53033031204,+47.3063880,-122.1299110
53033031302,+47.1859757,-122.0118854
53033032601,+47.5830194,-121.8625236
53033027600,+47.4745719,-122.3595893
53033029305,+47.4219144,-122.2114434
53033029304,+47.4382513,-122.1715428
53033029303,+47.4364727,-122.1998867
53033029204,+47.3955305,-122.2160422
53033003000,+47.6850958,-122.3740444
53033002900,+47.6850872,-122.3606466
53033002800,+47.6851200,-122.3499256
53033002700,+47.6868673,-122.3311252
53033002600,+47.6822031,-122.3113993
53033002500,+47.6838969,-122.3022793
53033002400,+47.6866812,-122.2878258
53033002200,+47.6922985,-122.2695132
53033002100,+47.6953673,-122.2980453
53033002000,+47.6953310,-122.3108025
53033031400,+47.2066360,-121.9889145
53033032007,+47.3907805,-122.0670808
53033025101,+47.5093920,-122.1549957
53033025200,+47.5106885,-122.1827358
53033022003,+47.7257310,-122.1982413
53033022201,+47.7263403,-122.2320467
53033029203,+47.3862746,-122.2313701
53033029004,+47.3799024,-122.2968653
53033029003,+47.3824985,-122.3057539
53033029001,+47.3840122,-122.3220799
53033027500,+47.4816357,-122.3411720
53033027400,+47.4827326,-122.3236114
53033001900,+47.6965350,-122.3262160
53033001800,+47.6940450,-122.3419779
53033001600,+47.7004763,-122.3799018
53033001500,+47.6945678,-122.3949423
53033001400,+47.7078795,-122.3674088
53033001300,+47.7022812,-122.3421790
53033001200,+47.7071214,-122.3228194
53033001100,+47.7065470,-122.3068073
53033001000,+47.7064067,-122.2960648
53033000900,+47.7063747,-122.2749586
53033022202,+47.7206893,-122.2143318
53033032323,+47.6986018,-122.1117667
53033021600,+47.7670330,-122.2582785
53033021903,+47.7175135,-122.1788294
53035090700,+47.6852821,-122.5277093
53035090800,+47.6693456,-122.5631367
53035090900,+47.6333101,-122.5117509
53035091000,+47.6132875,-122.5438046
53035080101,+47.5971070,-122.6486496
53035080102,+47.5922515,-122.6376930
53035080200,+47.5976000,-122.6212773
53035080300,+47.5824265,-122.6232033
53035080400,+47.5863131,-122.6019830
53035080600,+47.5794687,-122.6494564
53035080700,+47.5884104,-122.6706847
53035092801,+47.4958759,-122.6138939
53035091204,+47.6476451,-122.6745040
53035091302,+47.6525241,-122.7426112
53035091400,+47.6074006,-122.6924666
53035091500,+47.6289311,-122.6690341
53035091600,+47.6396874,-122.6496358
53035091700,+47.6425805,-122.6193568
53035091800,+47.6113967,-122.6081424
53035092000,+47.5615460,-122.8554719
53035080500,+47.5683301,-122.6232745
53035080900,+47.5615650,-122.6985439
53035081000,+47.5543853,-122.6691723
53035081100,+47.5649675,-122.6575808
53035081200,+47.5671811,-122.6428551
53035081400,+47.5610421,-122.6387647
53035091301,+47.6173992,-122.8168629
53035091201,+47.6484942,-122.7008884
53035091203,+47.6707603,-122.6645322
53035091900,+47.6136699,-122.6522303
53035090101,+47.8624388,-122.5670030
53035090102,+47.8204765,-122.5109577
53035092100,+47.4951377,-122.7237434
53035092200,+47.5289923,-122.6484447
53035092400,+47.5212725,-122.5964115
53035092500,+47.5538714,-122.5930563
53035092600,+47.5610352,-122.5525085
53035092901,+47.4390597,-122.7260004
53035092300,+47.5189391,-122.6250081
53035090300,+47.7245503,-122.7160114
