USPS,GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
WA,53061050600,3194806,1012328,1.234,0.391,47.7881057,-122.3881006
WA,53061050700,3094952,0,1.195,0,47.784649,-122.3651045
WA,53061050800,3193201,2376,1.233,0.001,47.793236,-122.3490897
WA,53061050900,1495330,131551,0.577,0.051,47.7859889,-122.337135
WA,53061051000,3342840,275673,1.291,0.106,47.7926729,-122.3232196
WA,53061051100,2057573,0,0.794,0,47.7839904,-122.3071252
WA,53061051200,2100184,0,0.811,0,47.7978124,-122.3058174
WA,53061051300,2935606,0,1.133,0,47.7923832,-122.2913003
WA,53061051400,4002334,34278,1.545,0.013,47.8129269,-122.3065992
WA,53061051500,3285566,0,1.269,0,47.8207658,-122.3264368
WA,53061051601,2446727,0,0.945,0,47.8448125,-122.3092787
WA,53061051602,2051437,0,0.792,0,47.834005,-122.3155946
WA,53061051701,2491487,0,0.962,0,47.8299717,-122.2999364
WA,53061051702,2167086,0,0.837,0,47.8312065,-122.2863838
WA,53061051802,5005395,0,1.933,0,47.839613,-122.2735752
WA,53061051803,1597958,0,0.617,0,47.8562368,-122.2815196
WA,53061051804,2355488,0,0.909,0,47.8572221,-122.2638368
WA,53061051905,5282313,0,2.04,0,47.8160561,-122.2709171
WA,53061051912,13271235,187053,5.124,0.072,47.7848794,-122.1062774
WA,53061051913,3961001,0,1.529,0,47.7999629,-122.268274
WA,53061051914,3439800,0,1.328,0,47.7843454,-122.2727035
WA,53061051915,4144039,0,1.6,0,47.8060371,-122.2466565
WA,53061051916,2788068,0,1.076,0,47.7997544,-122.2291906
WA,53061051917,2932940,0,1.132,0,47.7840394,-122.245169
WA,53061051918,4477555,0,1.729,0,47.7834467,-122.2143909
WA,53061051921,2453189,0,0.947,0,47.8208453,-122.2204838
WA,53061051922,3810087,0,1.471,0,47.8110567,-122.2248515
WA,53061051923,3719000,0,1.436,0,47.8327478,-122.2090256
WA,53061051924,2656038,0,1.026,0,47.818915,-122.1962239
WA,53061051925,8016286,0,3.095,0,47.7949724,-122.1910587
WA,53061051926,8484854,0,3.276,0,47.7937224,-122.1619673
WA,53061051927,4609766,0,1.78,0,47.8354398,-122.2381818
WA,53061051928,2302032,0,0.889,0,47.8434058,-122.2480891
WA,53061052003,5854764,27393,2.261,0.011,47.8522285,-122.1797468
WA,53061052004,3315369,10540,1.28,0.004,47.868695,-122.2071675
WA,53061052005,3588277,0,1.385,0,47.8578829,-122.2038669
WA,53061052006,1933189,0,0.746,0,47.8494717,-122.1963272
WA,53061052007,2194442,0,0.847,0,47.8395035,-122.1993428
WA,53061052104,43475163,6779162,16.786,2.617,47.98669,-122.1669598
WA,53061052105,51596793,3007421,19.922,1.161,47.8770787,-122.096128
WA,53061052107,12464830,0,4.813,0,47.8242011,-122.1557842
WA,53061052108,23399762,0,9.035,0,47.8312189,-122.1027589
WA,53061052112,14720116,0,5.683,0,47.8015535,-122.0715982
WA,53061052113,22147655,198776,8.551,0.077,47.7926846,-122.0212172
WA,53061052114,6511459,0,2.514,0,47.8506574,-122.154929
WA,53061052115,3056294,0,1.18,0,47.8698347,-122.1561801
WA,53061052118,11235889,0,4.338,0,47.8662947,-122.1319588
WA,53061052203,16233713,0,6.268,0,47.8782186,-121.9800353
WA,53061052204,9795030,0,3.782,0,47.8667668,-122.0183865
WA,53061052206,51545059,656136,19.902,0.253,47.927243,-121.938058
WA,53061052207,66955202,280666,25.852,0.108,47.9021504,-121.8778153
WA,53061052208,2078470,0,0.803,0,47.8564399,-121.9845322
WA,53061052209,8488220,156304,3.277,0.06,47.8308302,-122.0133223
WA,53061052301,39269983,731026,15.162,0.282,47.9615588,-122.0179744
WA,53061052302,34210957,0,13.209,0,47.9119988,-122.0322076
WA,53061052401,3869483,279362,1.494,0.108,47.9255961,-122.0955436
WA,53061052402,2427216,42351,0.937,0.016,47.9150606,-122.0895205
WA,53061052502,14112864,316594,5.449,0.122,47.9347064,-122.1187816
WA,53061052503,4996955,0,1.929,0,47.986498,-122.1160237
WA,53061052504,7882353,0,3.043,0,47.9658346,-122.1113082
WA,53061052603,7544164,677178,2.913,0.261,48.031816,-122.0850872
WA,53061052604,3645650,2162657,1.408,0.835,47.9987277,-122.0936955
WA,53061052605,4726711,196404,1.825,0.076,48.0191053,-122.0667747
WA,53061052606,13059393,1094523,5.042,0.423,48.0040674,-122.0488495
WA,53061052607,10156199,0,3.921,0,47.9688262,-122.0745008
WA,53061052701,20451247,0,7.896,0,48.1245256,-122.1185986
WA,53061052705,15538879,550521,6,0.213,48.0523429,-122.1025251
WA,53061052706,4984608,0,1.925,0,48.0086872,-122.1211573
WA,53061052707,5286793,0,2.041,0,48.0261678,-122.1149932
WA,53061052708,3161373,0,1.221,0,48.0626285,-122.1301068
WA,53061052709,20141504,0,7.777,0,48.0899357,-122.0985926
WA,53061052803,14086688,0,5.439,0,48.1335506,-122.1637635
WA,53061052804,6931486,0,2.676,0,48.10459,-122.1599631
WA,53061052805,4252728,0,1.642,0,48.0861093,-122.1740004
WA,53061052806,3167841,0,1.223,0,48.0834178,-122.1511314
WA,53061052903,2951870,383296,1.14,0.148,48.0531551,-122.1722506
WA,53061052904,3509245,45023,1.355,0.017,48.0510765,-122.149677
WA,53061052905,2046974,0,0.79,0,48.0675269,-122.173214
WA,53061052906,2418973,0,0.934,0,48.069198,-122.1536756
WA,53061053101,27408323,0,10.582,0,48.1730236,-122.2333219
WA,53061053102,24462312,748803,9.445,0.289,48.1393066,-122.2368928
WA,53061053201,46701566,6351252,18.032,2.452,48.1952183,-122.3171137
WA,53061053202,22207590,4437425,8.574,1.713,48.1425085,-122.3422759
WA,53061053301,24666851,3367417,9.524,1.3,48.2560314,-122.3660164
WA,53061053302,89008238,486479,34.366,0.188,48.2589939,-122.2781367
WA,53061053400,129785716,349052,50.111,0.135,48.2773381,-122.146733
WA,53061053504,11960365,13346,4.618,0.005,48.1809993,-122.1077031
WA,53061053505,49999075,327351,19.305,0.126,48.1097631,-122.0402996
WA,53061053506,257826551,1653022,99.547,0.638,48.2011528,-121.9823827
WA,53061053507,4770171,0,1.842,0,48.1643568,-122.1298558
WA,53061053508,14993012,0,5.789,0,48.1874429,-122.1660893
WA,53061053509,8433367,0,3.256,0,48.1633404,-122.1616238
WA,53061053602,533603290,7819282,206.025,3.019,48.0123109,-121.6782609
WA,53061053603,41041522,427034,15.846,0.165,48.0468122,-122.0181379
WA,53061053604,16014935,70859,6.183,0.027,48.080509,-122.0070461
WA,53061053700,1686835215,7182938,651.291,2.773,48.2371094,-121.4416703
WA,53061053801,1136025315,5355001,438.622,2.068,47.8728737,-121.4464055
WA,53061053802,22507195,14961,8.69,0.006,47.8667826,-121.8246435
WA,53061053803,271325239,5188446,104.759,2.003,47.8955608,-121.6492101
WA,53061940001,50880911,7732480,19.645,2.986,48.0752244,-122.2219406
WA,53061940002,39006158,4834820,15.06,1.867,48.0961405,-122.3026053
WA,53061990002,0,176532556,0,68.16,48.0002035,-122.3353905
WA,53061990100,0,13228343,0,5.107,48.2831458,-122.4110634
WA,53053060200,15719850,9192046,6.069,3.549,47.2668489,-122.4078355
WA,53053060300,5522100,9878402,2.132,3.814,47.306805,-122.5268439
WA,53053060400,2537792,3976447,0.98,1.535,47.2852555,-122.4851483
WA,53053060500,2116832,668446,0.817,0.258,47.275214,-122.4746683
WA,53053060600,2130220,4742856,0.822,1.831,47.2733562,-122.4580971
WA,53053060700,2105869,0,0.813,0,47.261373,-122.4785267
WA,53053060800,2583067,0,0.997,0,47.265596,-122.4963465
WA,53053060903,2313030,1442717,0.893,0.557,47.2860173,-122.5263961
WA,53053060904,1948487,0,0.752,0,47.2808047,-122.5099314
WA,53053060905,3040430,982195,1.174,0.379,47.2665694,-122.5335814
WA,53053060906,1577617,0,0.609,0,47.2632968,-122.5098129
WA,53053061001,2870699,1716730,1.108,0.663,47.253948,-122.5485229
WA,53053061002,3010248,8198,1.162,0.003,47.2462062,-122.5223595
WA,53053061100,4353844,41555,1.681,0.016,47.2455764,-122.4936719
WA,53053061200,1890514,0,0.73,0,47.2490842,-122.4745331
WA,53053061300,1574642,0,0.608,0,47.2500153,-122.4589966
WA,53053061400,926850,0,0.358,0,47.2502435,-122.4483264
WA,53053061500,1171497,0,0.452,0,47.2621959,-122.4494502
WA,53053061601,761485,0,0.294,0,47.2542281,-122.4402346
WA,53053061602,1057275,0,0.408,0,47.2401479,-122.4377427
WA,53053061700,2640029,5766,1.019,0.002,47.237848,-122.4584513
WA,53053061800,1383818,0,0.534,0,47.2267871,-122.4518338
WA,53053061900,1039865,0,0.401,0,47.2276734,-122.4341708
WA,53053062000,2065338,33947,0.797,0.013,47.2293124,-122.4184094
WA,53053062300,2455992,0,0.948,0,47.2142233,-122.4167847
WA,53053062400,2266569,0,0.875,0,47.2145262,-122.4337774
WA,53053062500,2900393,0,1.12,0,47.2149287,-122.4522054
WA,53053062600,6947156,6314,2.682,0.002,47.2203846,-122.4773836
WA,53053062801,3773170,12847,1.457,0.005,47.2222063,-122.4973477
WA,53053062802,3001158,0,1.159,0,47.1940103,-122.496448
WA,53053062900,2981954,0,1.151,0,47.2003278,-122.4786272
WA,53053063000,2204911,0,0.851,0,47.1971869,-122.4677762
WA,53053063100,2341221,106487,0.904,0.041,47.1974147,-122.45178
WA,53053063200,2361068,0,0.912,0,47.1989933,-122.4321664
WA,53053063300,3373099,0,1.302,0,47.1990218,-122.4086992
WA,53053063400,3860355,0,1.49,0,47.1809619,-122.4314571
