USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
WA	53009000700	12436409	67824	       4.802	       0.026	 48.1166650	-123.4915638                                                                                                                        
WA	53009000800	3147267	0	       1.215	       0.000	 48.1177852	-123.4627087                                                                                                                             
WA	53009000900	2317249	0	       0.895	       0.000	 48.1144131	-123.4452055                                                                                                                             
WA	53009001000	1783304	0	       0.689	       0.000	 48.1119682	-123.4287236                                                                                                                             
WA	53009001100	11069843	4358	       4.274	       0.002	 48.0792075	-123.4393479                                                                                                                         
WA	53009001200	6626360	0	       2.558	       0.000	 48.1000168	-123.4113690                                                                                                                             
WA	53009001300	9985664	0	       3.855	       0.000	 48.1042437	-123.3700006                                                                                                                             
WA	53009001400	92505220	79300	      35.716	       0.031	 48.0710021	-123.3477931                                                                                                                        
WA	53009001500	510005732	2189995	     196.914	       0.846	 47.9306210	-123.3651009                                                                                                                     
WA	53009001600	21591300	0	       8.336	       0.000	 48.1067388	-123.2334297                                                                                                                            
WA	53009001700	32361001	0	      12.495	       0.000	 48.1171561	-123.1691053                                                                                                                            
WA	53009001800	221835200	0	      85.651	       0.000	 47.9916054	-123.1920584                                                                                                                           
WA	53009001900	37268797	0	      14.390	       0.000	 48.1105655	-123.1039854                                                                                                                            
WA	53009002000	20799233	0	       8.031	       0.000	 48.0609580	-123.1164953                                                                                                                            
WA	53009002100	3769973	0	       1.456	       0.000	 48.0787223	-123.1003970                                                                                                                             
WA	53009002300	289851861	71260	     111.912	       0.028	 47.9733074	-123.0081086                                                                                                                       
WA	53009940000	110360974	462077	      42.611	       0.178	 48.3338551	-124.6354040                                                                                                                      
WA	53009990100	0	2347743752	       0.000	     906.469	 48.2311825	-123.9388085                                                                                                                          
WA	53011040101	333652854	16621408	     128.824	       6.418	 45.9208027	-122.3647640                                                                                                                    
WA	53011040102	53791716	59538	      20.769	       0.023	 45.8495399	-122.4574128                                                                                                                        
WA	53011040201	59075947	1482543	      22.809	       0.572	 45.8933250	-122.6736520                                                                                                                      
WA	53011040202	69870913	444729	      26.977	       0.172	 45.9159722	-122.5985340                                                                                                                       
WA	53011040203	61272545	217379	      23.657	       0.084	 45.8428093	-122.5763423                                                                                                                       
WA	53011040301	28372870	910095	      10.955	       0.351	 45.8446744	-122.7079670                                                                                                                       
WA	53011040302	58566966	6543647	      22.613	       2.527	 45.8085138	-122.7302143                                                                                                                      
WA	53011040403	42758301	137968	      16.509	       0.053	 45.7889470	-122.6363851                                                                                                                       
WA	53011040407	5736079	0	       2.215	       0.000	 45.7736235	-122.5243706                                                                                                                             
WA	53011040408	20313215	6272	       7.843	       0.002	 45.7512689	-122.5617122                                                                                                                         
WA	53011040409	8280669	0	       3.197	       0.000	 45.7393308	-122.6210146                                                                                                                             
WA	53011040411	2049295	0	       0.791	       0.000	 45.7180680	-122.6438862                                                                                                                             
WA	53011040412	3935038	0	       1.519	       0.000	 45.7386229	-122.6499865                                                                                                                             
WA	53011040413	6561747	0	       2.534	       0.000	 45.7731840	-122.5736758                                                                                                                             
WA	53011040414	12712421	0	       4.908	       0.000	 45.7946363	-122.5749673                                                                                                                            
WA	53011040415	3596133	0	       1.388	       0.000	 45.7909813	-122.5367058                                                                                                                             
WA	53011040416	20044050	102869	       7.739	       0.040	 45.8057468	-122.5107768                                                                                                                       
WA	53011040504	194499556	96938	      75.097	       0.037	 45.7736987	-122.3595744                                                                                                                       
WA	53011040505	39997616	0	      15.443	       0.000	 45.7576662	-122.4696311                                                                                                                            
WA	53011040507	25473032	8123515	       9.835	       3.137	 45.5634331	-122.2960013                                                                                                                      
WA	53011040508	6426608	92673	       2.481	       0.036	 45.5888343	-122.3242940                                                                                                                         
WA	53011040509	1893513	812874	       0.731	       0.314	 45.5798368	-122.3603524                                                                                                                        
WA	53011040510	47075842	380050	      18.176	       0.147	 45.6130262	-122.3272285                                                                                                                       
WA	53011040511	86155139	10974	      33.265	       0.004	 45.7009639	-122.3246417                                                                                                                        
WA	53011040603	55563824	0	      21.453	       0.000	 45.6845750	-122.4240690                                                                                                                            
WA	53011040604	22100135	0	       8.533	       0.000	 45.6636568	-122.4667431                                                                                                                            
WA	53011040605	21109433	632410	       8.150	       0.244	 45.6200646	-122.4064762                                                                                                                       
WA	53011040608	9569643	623580	       3.695	       0.241	 45.6152359	-122.4559326                                                                                                                        
WA	53011040609	3243650	0	       1.252	       0.000	 45.5949522	-122.4435700                                                                                                                             
WA	53011040610	2983976	62122	       1.152	       0.024	 45.5997111	-122.4138070                                                                                                                         
WA	53011040703	4842117	0	       1.870	       0.000	 45.6814504	-122.5633816                                                                                                                             
WA	53011040706	1891206	0	       0.730	       0.000	 45.6739862	-122.5386917                                                                                                                             
WA	53011040707	1676265	0	       0.647	       0.000	 45.6801900	-122.5326159                                                                                                                             
WA	53011040709	11630288	0	       4.490	       0.000	 45.7157528	-122.5688437                                                                                                                            
WA	53011040710	27768367	0	      10.721	       0.000	 45.7224046	-122.5229101                                                                                                                            
WA	53011040711	2001339	0	       0.773	       0.000	 45.6879624	-122.5423410                                                                                                                             
WA	53011040712	2905252	0	       1.122	       0.000	 45.6887816	-122.5161742                                                                                                                             
WA	53011040803	3771595	0	       1.456	       0.000	 45.7000322	-122.6384140                                                                                                                             
WA	53011040805	12795004	4329	       4.940	       0.002	 45.7149742	-122.6101076                                                                                                                         
WA	53011040806	3494973	0	       1.349	       0.000	 45.6891294	-122.5860460                                                                                                                             
WA	53011040808	3704552	0	       1.430	       0.000	 45.6860461	-122.6108035                                                                                                                             
WA	53011040809	2285628	0	       0.882	       0.000	 45.6895490	-122.6401626                                                                                                                             
WA	53011040810	2212067	28886	       0.854	       0.011	 45.6825626	-122.6436105                                                                                                                         
WA	53011040904	4220981	0	       1.630	       0.000	 45.7028825	-122.6682987                                                                                                                             
WA	53011040905	26254490	117067	      10.137	       0.045	 45.7534052	-122.7001427                                                                                                                       
WA	53011040907	5443133	371676	       2.102	       0.144	 45.7143605	-122.7153747                                                                                                                        
WA	53011040908	4384810	0	       1.693	       0.000	 45.7037379	-122.6921501                                                                                                                             
WA	53011040909	4218361	0	       1.629	       0.000	 45.7167147	-122.6749544                                                                                                                             
WA	53011040910	6958158	0	       2.687	       0.000	 45.7336316	-122.6709023                                                                                                                             
WA	53011041003	3435297	70154	       1.326	       0.027	 45.6622596	-122.6814208                                                                                                                         
WA	53011041005	36503544	22090862	      14.094	       8.529	 45.6860380	-122.7398063                                                                                                                     
WA	53011041007	1933690	0	       0.747	       0.000	 45.6736618	-122.6748430                                                                                                                             
WA	53011041008	2576519	0	       0.995	       0.000	 45.6866869	-122.6905857                                                                                                                             
WA	53011041009	2436544	4944	       0.941	       0.002	 45.6862962	-122.6702876                                                                                                                          
WA	53011041010	3564707	0	       1.376	       0.000	 45.6722641	-122.6503845                                                                                                                             
WA	53011041011	3856388	0	       1.489	       0.000	 45.6581495	-122.6488691                                                                                                                             
WA	53011041104	1904821	0	       0.735	       0.000	 45.6692991	-122.5736438                                                                                                                             
WA	53011041105	4604521	0	       1.778	       0.000	 45.6705344	-122.6177315                                                                                                                             
WA	53011041107	2031927	0	       0.785	       0.000	 45.6714148	-122.5911988                                                                                                                             
WA	53011041108	3199743	0	       1.235	       0.000	 45.6571872	-122.5884602                                                                                                                             
WA	53011041110	3087797	11892	       1.192	       0.005	 45.6547166	-122.6262557                                                                                                                         
WA	53011041111	771817	0	       0.298	       0.000	 45.6457259	-122.6086854                                                                                                                              
WA	53011041112	2256406	0	       0.871	       0.000	 45.6559943	-122.6076728                                                                                                                             
WA	53011041201	4138635	405214	       1.598	       0.156	 45.6087262	-122.5642452                                                                                                                        
WA	53011041203	3906367	0	       1.508	       0.000	 45.6458379	-122.5818044                                                                                                                             
WA	53011041205	2457080	0	       0.949	       0.000	 45.6322569	-122.5876937                                                                                                                             
WA	53011041206	3102542	0	       1.198	       0.000	 45.6307917	-122.5689312                                                                                                                             
WA	53011041309	2931543	57730	       1.132	       0.022	 45.6031844	-122.5365721                                                                                                                         
WA	53011041310	3535536	572854	       1.365	       0.221	 45.5970739	-122.5155923                                                                                                                        
WA	53011041312	2708892	0	       1.046	       0.000	 45.6634038	-122.5436920                                                                                                                             
WA	53011041313	1826903	0	       0.705	       0.000	 45.6548791	-122.5630391                                                                                                                             
WA	53011041317	2940664	0	       1.135	       0.000	 45.6322123	-122.5524592                                                                                                                             
WA	53011041318	3463485	7161	       1.337	       0.003	 45.6320200	-122.5371638                                                                                                                          
WA	53011041319	3253052	0	       1.256	       0.000	 45.6352312	-122.5177639                                                                                                                             
WA	53011041320	2225841	0	       0.859	       0.000	 45.6216076	-122.5125594                                                                                                                             
WA	53011041321	4067177	0	       1.570	       0.000	 45.6290097	-122.4887959                                                                                                                             
WA	53011041322	2185462	0	       0.844	       0.000	 45.6154349	-122.5408142                                                                                                                             
WA	53011041323	2076878	0	       0.802	       0.000	 45.6112782	-122.5149151                                                                                                                             
WA	53011041325	4758377	986255	       1.837	       0.381	 45.5885856	-122.4799189                                                                                                                        
WA	53011041326	3482817	0	       1.345	       0.000	 45.6644890	-122.5185965                                                                                                                             
WA	53011041327	7316730	0	       2.825	       0.000	 45.6494984	-122.4922662                                                                                                                             
WA	53011041328	5485526	0	       2.118	       0.000	 45.6010750	-122.4749338                                                                                                                             
WA	53011041329	3192375	0	       1.233	       0.000	 45.6134323	-122.4888803                                                                                                                             
WA	53011041330	1838007	0	       0.710	       0.000	 45.6502591	-122.5389671                                                                                                                             
WA	53011041331	1458364	0	       0.563	       0.000	 45.6495867	-122.5520618                                                                                                                             
WA	53011041332	1580130	0	       0.610	       0.000	 45.6466497	-122.5184937                                                                                                                             
WA	53011041333	1462338	0	       0.565	       0.000	 45.6535585	-122.5199274                                                                                                                             
WA	53011041400	8647093	4450082	       3.339	       1.718	 45.5796068	-122.4326851                                                                                                                       
WA	53011041500	3599702	1197057	       1.390	       0.462	 45.5834270	-122.3896813                                                                                                                       
WA	53011041600	2774567	0	       1.071	       0.000	 45.6383757	-122.6185119                                                                                                                             
WA	53011041700	1133324	0	       0.438	       0.000	 45.6411339	-122.6398120                                                                                                                             
WA	53011041800	1500014	0	       0.579	       0.000	 45.6453670	-122.6533654                                                                                                                             
WA	53011041900	1176296	0	       0.454	       0.000	 45.6467352	-122.6663486                                                                                                                             
WA	53011042000	698151	0	       0.270	       0.000	 45.6522495	-122.6757547                                                                                                                              
WA	53011042100	1316330	0	       0.508	       0.000	 45.6452069	-122.6798974                                                                                                                             
WA	53011042300	1203815	0	       0.465	       0.000	 45.6357260	-122.6790964                                                                                                                             
WA	53011042400	1021245	450591	       0.394	       0.174	 45.6246604	-122.6803105                                                                                                                        
WA	53011042500	937306	0	       0.362	       0.000	 45.6333594	-122.6679381                                                                                                                              
WA	53011042600	7399106	1831954	       2.857	       0.707	 45.6215353	-122.6508691                                                                                                                       
WA	53011042700	1102005	0	       0.425	       0.000	 45.6337490	-122.6328747                                                                                                                             
WA	53011042800	2455101	0	       0.948	       0.000	 45.6235146	-122.6236862                                                                                                                             
WA	53011042900	1614206	0	       0.623	       0.000	 45.6251969	-122.6074893                                                                                                                             
WA	53011043000	1315540	0	       0.508	       0.000	 45.6253467	-122.5970660                                                                                                                             
