site_id,lon,lat
245,-122.51175,47.63331
246,-122.51168,48.77526
247,-122.51148,47.75527
248,-122.51118,47.82016
249,-122.50993,47.2808
250,-122.50981,47.2633
251,-122.50786,47.18473
252,-122.50754,48.16936
253,-122.50536,47.14439
254,-122.50029,47.15993
255,-122.49987,46.96987
256,-122.49735,47.22221
257,-122.49645,47.19401
258,-122.49635,47.2656
259,-122.49548,47.16953
260,-122.49367,47.24558
261,-122.49056,47.12985
262,-122.48779,48.76756
263,-122.48604,48.75572
264,-122.48596,48.74789
265,-122.48515,47.28526
266,-122.48311,48.72192
267,-122.48074,48.05933
268,-122.4798,48.73692
269,-122.47863,47.20033
270,-122.47853,47.26137
271,-122.47738,47.22038
272,-122.47649,47.45096
273,-122.47469,47.17838
274,-122.47467,47.27521
275,-122.47453,47.24908
276,-122.4686,47.3954
277,-122.4683,48.75639
278,-122.46778,47.19719
279,-122.46728,47.1565
280,-122.46677,47.16382
281,-122.46523,47.72375
282,-122.46399,47.17098
283,-122.459,47.25002
284,-122.45845,47.23785
285,-122.4581,47.27336
286,-122.45483,48.94996
287,-122.45471,48.65989
288,-122.45264,48.21456
289,-122.45221,47.21493
290,-122.45191,47.13334
291,-122.45183,47.22679
292,-122.45178,47.19741
293,-122.45166,47.17507
294,-122.45156,47.10868
295,-122.45123,47.18645
296,-122.44989,48.76401
297,-122.44945,47.2622
298,-122.44833,47.25024
299,-122.44831,48.74518
300,-122.44811,48.71542
301,-122.44528,47.14569
302,-122.4436,47.3054
303,-122.4434,47.16417
304,-122.44231,47.15475
305,-122.44023,47.25423
306,-122.43843,48.40453
307,-122.43774,47.24015
308,-122.43518,48.97158
309,-122.43417,47.22767
310,-122.43378,47.21453
311,-122.43348,48.77209
312,-122.43217,47.19899
313,-122.43146,47.18096
314,-122.42911,48.47028
315,-122.42484,48.88255
316,-122.42357,47.13238
317,-122.42148,48.1096
318,-122.42044,47.10983
319,-122.41994,47.08576
320,-122.41845,46.89878
321,-122.41841,47.22931
