eid,aid,mainshock,mag,lon,lat,depth
71,9,DDMFZ_EQ1,5.51746085846,-123.085061907,48.485401975,14.2414463454
72,10,DDMFZ_EQ1,5.75152872287,-121.66195207,48.2455414984,13.7219772141
73,11,DDMFZ_EQ1,5.92624957467,-123.241669144,48.5155899935,6.45530931373
74,12,DDMFZ_EQ1,4.69481330745,-122.980546018,48.4128463826,7.30794633184
75,13,DDMFZ_EQ1,4.66588801339,-122.694331745,48.3229119834,13.9460732487
76,14,DDMFZ_EQ1,5.02150761023,-123.324535639,48.6150084212,6.05167915686
77,15,DDMFZ_EQ1,4.55191965015,-122.950156344,48.505567365,8.24289400209
78,16,DDMFZ_EQ1,5.27307794155,-121.777153965,48.4612297754,17.3639287638
79,17,DDMFZ_EQ1,5.98016924315,-122.308511992,48.4586809937,9.23346409603
80,18,DDMFZ_EQ1,4.79217253588,-122.480636662,48.3810460345,11.8089625003
81,19,DDMFZ_EQ1,5.15702291413,-121.532694142,48.3373884327,19.0582453623
82,20,DDMFZ_EQ1,4.71560962988,-123.467919063,48.5585300589,7.63438542139
83,21,DDMFZ_EQ1,4.74332446854,-121.630484559,48.4685607156,10.2340162777
84,22,DDMFZ_EQ1,4.59298587046,-122.965181135,48.394432446,13.7033244087
85,23,DDMFZ_EQ1,6.13495611586,-122.480729677,48.5262089283,16.0854228721
86,24,DDMFZ_EQ1,5.61086078652,-121.37668801,48.4304430881,18.4264541874
87,25,DDMFZ_EQ1,4.53686115276,-123.38679685,48.5504090325,18.6475678012
88,26,DDMFZ_EQ1,4.78980146212,-123.261302317,48.6040349192,16.42624119
89,27,DDMFZ_EQ1,4.86118799751,-122.550549967,48.3991716009,7.65329338549
90,28,DDMFZ_EQ1,4.52157985556,-121.83177432,48.4842813453,4.39694928068
91,29,DDMFZ_EQ1,4.623932176,-121.63329829,48.4025116058,10.1403828857
92,30,DDMFZ_EQ1,5.54795577202,-122.188285149,48.2724178407,6.26478161581
93,31,DDMFZ_EQ1,5.40782141261,-121.892792113,48.4776253127,15.366202359
94,32,DDMFZ_EQ1,6.03221214443,-122.503461543,48.4203827564,14.5780893892
95,33,DDMFZ_EQ1,4.71144896682,-123.533452222,48.5009475161,4.70354626594
96,34,DDMFZ_EQ1,4.55617273113,-122.661412312,48.4586308975,17.3855004661
97,35,DDMFZ_EQ1,4.9420332086,-123.364884662,48.4011020562,7.97989226066
98,36,DDMFZ_EQ1,4.80626722084,-122.845659394,48.4460482784,10.9156332079
99,37,DDMFZ_EQ1,4.66463778195,-122.40843582,48.5097371139,14.6869397673
100,38,DDMFZ_EQ1,5.153406375,-123.314090474,48.3513754257,10.8707005896
101,39,DDMFZ_EQ1,4.55893938704,-122.431261956,48.3527163739,11.0606048448
102,40,DDMFZ_EQ1,6.1771061302,-123.342019759,48.3376062487,5.05004792537
103,41,DDMFZ_EQ1,4.55538161173,-122.002357161,48.3540420058,10.4230967882
104,42,DDMFZ_EQ1,4.72491463977,-121.643694379,48.4106875197,16.2375662915
105,43,DDMFZ_EQ1,4.58366121432,-123.273075509,48.5763959744,18.642821395
106,44,DDMFZ_EQ1,5.00308472559,-122.671521018,48.5580752009,10.615954193
107,45,DDMFZ_EQ1,4.69649676175,-123.339750196,48.5287182233,10.7773732301
108,46,DDMFZ_EQ1,4.76397958503,-123.436797772,48.4341236741,15.2420337012
109,47,DDMFZ_EQ1,4.5608009819,-121.504240765,48.4430999817,19.0843520177
110,48,DDMFZ_EQ1,5.25408361222,-122.472993375,48.5011747546,8.27297504383
111,49,DDMFZ_EQ1,4.8668009852,-122.185322697,48.4179191447,11.0423073046
112,50,DDMFZ_EQ1,5.56773740768,-122.774288262,48.5058358475,16.7355718968
113,51,DDMFZ_EQ1,4.86817158062,-123.144127357,48.592613911,13.75509711
114,52,DDMFZ_EQ1,4.80183380808,-121.959297615,48.4365110099,5.76938150342
115,53,DDMFZ_EQ1,4.61561968177,-122.629785709,48.3976602548,14.043723769
116,54,DDMFZ_EQ1,4.94167480692,-122.965501137,48.52724147,6.98794055356
117,55,DDMFZ_EQ1,4.61955701302,-121.694518643,48.2245825437,12.1634549453
118,56,DDMFZ_EQ1,5.51921624305,-123.214277757,48.4531773159,12.4656522826
119,57,DDMFZ_EQ1,4.54950373796,-122.744330556,48.4187809948,18.0192537956
120,58,DDMFZ_EQ1,4.62735388433,-123.475539622,48.4142831475,11.3999083842
121,59,DDMFZ_EQ1,5.19515415523,-122.135519169,48.2548154895,8.47107875577
122,60,DDMFZ_EQ1,4.56737056982,-121.647218626,48.2431174529,7.69546157146
123,61,DDMFZ_EQ1,5.04455544185,-122.493030217,48.4692560782,17.9880300269
124,62,DDMFZ_EQ1,4.56153514166,-121.576956792,48.4241614777,6.73617367069
125,63,DDMFZ_EQ1,4.66668472561,-123.52190341,48.659673119,10.8138969741
126,64,DDMFZ_EQ1,5.08873107298,-121.482232008,48.2836243196,6.99476983883
127,65,DDMFZ_EQ1,5.29795037917,-123.072515611,48.5037807997,16.3728646418
128,66,DDMFZ_EQ1,4.60170068298,-122.523528428,48.5422154082,11.5899622396
129,67,DDMFZ_EQ1,5.13759450314,-122.194315621,48.3029625788,9.61829904891
130,68,DDMFZ_EQ1,5.18516391431,-121.547168643,48.3982661395,9.77759425002
131,69,DDMFZ_EQ1,4.58901024976,-122.7623862,48.5213079947,17.6354273076
132,70,DDMFZ_EQ1,4.66111934197,-122.711126701,48.3337128786,12.8603832687
133,71,DDMFZ_EQ1,4.60109245321,-121.951799754,48.4745514469,15.4858856181
134,72,DDMFZ_EQ1,4.67072903022,-123.357770519,48.587049924,18.35261626
135,73,DDMFZ_EQ1,4.52069666914,-122.05258227,48.254740037,18.4278668167
